stream,topic,sender-id,timestamp,keyword-?,message-word-count,afinn-sentiment,trust,surprise,joy,positive,negative,anticipation,anger,sadness,fear
data-science,Organize data science tools site?,200665,1550785984,false,17,0,3,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,139453,1550786050,false,8,0,0,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550821456,false,57,2,6,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550821532,false,22,-1,2,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200711,1550827709,false,133,2,24,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550851316,true,9,0,0,0,0,0,0,0,0,0,0
data-science,Cool Papers,200665,1550887813,false,27,6,4,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1550899895,false,483,17,95,3,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550910128,false,30,7,4,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550910506,false,38,6,9,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550910588,true,14,2,1,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200711,1550928969,false,25,4,5,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,198968,1550930706,false,22,3,5,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,198968,1550930923,false,76,5,15,0,0,0,0,0,1,0,0
data-science,Organize data science tools site?,198968,1550931017,false,17,3,3,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550931652,true,228,26,50,2,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550932003,true,165,14,33,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550932088,true,48,8,4,2,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550934449,false,14,1,0,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,201134,1550945211,false,170,0,25,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550947280,false,24,5,1,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138243,1550949515,true,7,0,0,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138243,1550950065,true,16,5,3,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1550955780,false,272,10,48,0,0,0,0,0,1,0,0
data-science,Organize data science tools site?,139190,1550958551,false,392,8,78,0,0,1,0,0,0,0,0
data-science,Organize data science tools site?,200665,1550959683,false,171,15,31,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,139190,1550961925,false,53,0,8,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138603,1550963562,false,249,5,38,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,198968,1550965142,false,30,6,5,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200665,1550966452,false,611,28,123,4,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138603,1550966467,false,310,15,50,2,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200665,1550966751,false,68,10,12,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138603,1550967338,false,49,2,10,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138243,1550989706,true,1,0,0,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,139190,1551026572,false,22,3,4,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,139190,1551027408,true,326,11,39,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138262,1551035559,false,46,0,5,0,0,0,0,0,0,0,0
data-science,ml news,200490,1551035979,false,21,5,2,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,139453,1551046842,false,56,0,9,1,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138243,1551056587,true,85,4,11,1,0,0,0,0,0,0,0
